nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,no_telepon,no_fax,jenis_usaha,kapasitas
Coca Suki,Jl. Raya Perjuangan No. 1,PT. Boga Selera Perdana,Henny Hidayat,Jakarta Barat,021 5713688,021 5713687,Restoran,31/110/A
Coral Bistro,"Komp. Graha Mas Blok B.25, Jl. Raya Perjuangan ",Ferry Laksana,Ferry Laksana,Jakarta Barat,021 5302840,021 5302876,Restoran,10/60/A
Crystal Jade La Mian,"Ranch Market Headquarter, Jl. Pesanggrahan Raya",PT. Crystal Jade La Miab Xiao Long B,Shannon Masrin,Jakarta Barat,021 6919618,021 6900723,Restoran,20/80/A
Culina,Jl. Pesanggrahan No. 8,PT. Selera Kian Makmur,Lin Manuhutu,Jakarta Barat,,,Restoran,25/65/A
Cut & Grill,"The Bale Kawasan Daan Mogot Baru C1-C2, Jl. Daan Mogot Raya KM. 16",PT. Karnivora Maju Terus,Ridwan Kumala,Jakarta Barat,,,Restoran,15/60/A
D' Asti Wines And Spirits Lounge,"ST. Moritz Puri Indah Lt. G, Jl. Komp. Perum Puri",PT. Mitra Kreasi Kuliner,Irwan Gunawan Lie,Jakarta Barat,,,Restoran,2/4/C
D' Core,Jl. Letjen. S.Parman Kav. 72,CV. Anak Muda Pinter Makan,Yossita Kurniawan,Jakarta Barat,,,Restoran,15/50/B
D' Cost,"Seasons City, Jl. Prof. Dr. Latumenten No. 33",PT. Pendekar Bodoh,David Vincent Marsudi,Jakarta Barat,021 7342003,021 7342003,Restoran,20/50/B
D' Cost,"Ciputra Mal, Jl. Letjend S. Parman",PT. Atcost Beta,David Vincent Marsudi,Jakarta Barat,021 7342003,021 7342003,Restoran,14/50/B
D' Cost,"Gd. House of Blessing, Jl. Lingkar Luar Barat No. 108",PT. Pendekar Bodoh,David Vincent Marsudi,Jakarta Barat,,,Restoran,12/50/B
D' Cost,"Mal Matahari, Jl. Daan Mogot Raya KM.16",PT. Pendekar Bodoh,David Vincent Marsudi,Jakarta Barat,,,Restoran,14/50/B
D' Omelette,Jl. Hayam Wuruk No. 126,,Herrijanto Widjaja,Jakarta Barat,021 6390951,021 6390951,Restoran,14/56/A
Da Fu Hao,Jl. Hayam Wuruk No. 72,PT. Banyu Biru Pratama,Liauw Beng Tjoan,Jakarta Barat,,,Restoran,10/40/B
Dabes Burger,Jl. Hayam Wuruk No. 108,,Royandi Santoso,Jakarta Barat,021 6498285,,Restoran,9/31/B
Daniang Dumpling,Jl. Letjen. S.Parman,PT. Daniang Dumpling,Chris Sanjaya,Jakarta Barat,021 56998426,,Restoran,20/80/A
Dante Coffee,Jl. Letjen.S.Parman Kav. 28,PT. Royal Jaya Sentral,Rivano Januar Susilo,Jakarta Barat,021 56985763,021 56985762,Restoran,15/50/B
Dante Coffee,Jl. Letjen.S.Parman Kav. 28,PT. Royal Jaya Sentral,Rivano Januar Susilo,Jakarta Barat,021 56985763,021 56985762,Restoran,15/50/B
Dapur Betawi Mpok Juju,Jl. E Ujung No. 8 RT002/RW003,,Hj. Djubaedah,Jakarta Barat,,,Restoran,10/50/A
Dapur Kuring,Jl. Letjen. S. Parman Kav. 57,,Nursianti Margaret,Jakarta Barat,,,Restoran,12/48/B
De Rivier,Jl. Kali Besar Barat No. 44 - 46,PT. Wahana Andamari,Drs. Fuad Djapar,Jakarta Barat,021 6904118,021 6912894,Restoran,20/100/A
Delta Raya Pratama,Komplek Mutiara Taman Palem Blok C 1 No. 1,CV. Delta Citra Palma Fortuna,Simon Prasetio Liauw,Jakarta Barat,021 54355999,021 54356000,Restoran,10/80/A
Delta Spa,"Prisma Kedoya Plaza, Jl. Raya Perjuangan",PT. Puri Karya Jaya Sentosa,Simon Prasetio Liauw,Jakarta Barat,021 5363545,,Restoran,4/16/C
Depot 369,Jl. Mangga Besar Raya No. 57A,,,Jakarta Barat,,,Restoran,18/98/A
Dharma Kitchen Indonesia,"Central Park, Jl. Letjen. S.Parman",PT. Dharma Kitchen Indonesia,Toni Widjaja,Jakarta Barat,021 29200018,021 29200018,Restoran,16/50/B
Dharma Kitchen Indonesia,Jl. Letjen. S.Parman,PT. Dharma Kitchen Indonesia,Toni Widjaja,Jakarta Barat,021 29200018,,Restoran,16/50/B
Diamond Executive Club,"Pertokoan Glodok Blustru, Jl. Blustru Lt. 7",PT. Diamond Tirtajaya,Kwok Chandra Kusnadi,Jakarta Barat,021 6253488,,Restoran,20/80/A
Dian Xiao Er,Jl. Letjen. S.Parman Kav.21,PT. Jaya Indomatrix Abadi,Ramon B Liando,Jakarta Barat,021 5639679,,Restoran,20/80/A
Din Tai Fung,"Mal Taman Anggrek, Jl. Letjen. S. Parman",PT. Dhanamakmur Cemerlang,Dendy Sjahada H,Jakarta Barat,021 55911050,021 55911051,Restoran,15/50/A
Dinar,Jl. Lingkar Luar Kamal Blok B17,Sutiati,Sutiati,Jakarta Barat,,,Restoran,10/50/B
District  7,"Apartemen Westmark, Jl. Tanjung Duren Selatan",-,Robert Marudut Napitupulu,Jakarta Barat,,,Restoran,19/80/A
Diva,Jl. Tampak Siring Blok KJ No. 9-12,PT. Maritim Nusantara Persada,LISA,Jakarta Barat,,,Restoran,10/50/B
Diva,"Central Park Shop Units TL. 1, Jl. Letjen. S. ParmN",PT. Gita Makmur Lestari,Tjhin Dianawi,Jakarta Barat,,,Restoran,10/50/B
Domino's Pizza,Jl. Letjen. S.Parman Kav.28,PT. Dom Pizza Indonesia,Jusroni,Jakarta Barat,021 56985596,021 56985597,Restoran,12/34/B
Domino's Pizza,"Carrefour Puri Indah, Jl. Puri Agung Puri Indah",PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Barat,021 5746501,021 5746189,Restoran,10/40/B
Domino's Pizza,"Central Park, Jl. Letjen.S.Parman Kav. 28",PT. Dom Pizza Indonesia,Jusroni,Jakarta Barat,021 56985596,021 56985597,Restoran,12/34/B
Domino's Pizza,"Mal Ciputra, Jl. Letjen.S.Parman Lt. LG Unit 01&05",PT. Dom Pizza Indonesia,Jusroni,Jakarta Barat,021 5601049,021 56954854,Restoran,8/30/B
Domino's Pizza,"Komp. Ruko Citra Niaga Blok B No. 6, Jl. Utan Jati, Pegadungan",PT. Dom Pizza Indonesia,Jusroni,Jakarta Barat,021 5721368,021 5721369,Restoran,10/41/B
Domino's Pizza,"Komp. DPR RI, Jl. Kemanggisan Raya Blok B-3 C",PT. Dom Pizza Indonesia,Jusroni,Jakarta Barat,021 5721368,021 5721369,Restoran,11/43/B
Domino's Pizza,"Hayam Wuruk Plaza, Jl. Hayam Wuruk No. 108",PT. Dom Pizza Indonesia,Jusroni,Jakarta Barat,021 6248288,021 6240608,Restoran,9/36/B
Domino's Pizza,Komp. Mutiara Taman Palem City View Blok A5,PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Barat,021 5721368,021 5721369,Restoran,10/35/B
East West,Jl. Letjen. S.Parman Kav. 72,PT. Citi Champion,Yossita Kurniawan,Jakarta Barat,,,Restoran,20/80/A
Eaton,Jl. Raya Perjuangan Blok D-9,PT. Boga Indo Gemilang,Halim Susanto,Jakarta Barat,,,Restoran,20/40/B
Eaton Café,"Mal Taman Anggrek, Jl. Letjen S. Parman Kav. 2",PT. Boga Indo Gemilang,Hartanto Rusli,Jakarta Barat,,,Restoran,10/40/B
Eaton Café,"Komp. Prisma Kedoya Plaza Blok D No. 9, Jl. Raya Kebon Jeruk",PT. Boga Indo Gemilang,Hartanto Rusli,Jakarta Barat,021 53651515,,Restoran,10/40/B
Excelso,"Mall St. Moritz, Jl. Komplek Perum Puri Indah",PT. Prima Rasa Sejahtera,Freddry Chandra Tjong,Jakarta Barat,,,Restoran,26/50/B
Exito,Jl. Mangga Besar Raya No. 44 RT002/RW002,PT. Sumbermitra Asri Hotel,Rulli Maulana Muchidin,Jakarta Barat,021 6252534,021 6252534,Restoran,30/100/A
Fab Café,Jl. Letjen. S.Parman Kav. 28,PT. Santika Mitra Samaya,Bill Toar,Jakarta Barat,021 2700027,021 2700028,Restoran,10/40/B
Fame,"Central Park, Jl. Letjen. S.Parman Kav. 28",,Etty,Jakarta Barat,021 56988888,021 56985100,Restoran,17/75/B
Fiesta Steak,"Mal Taman Anggrek, Jl. Letjend S. Parman",CV. Fajar Indah Semesta,Christopher Aditya,Jakarta Barat,021 56985564,021 56985564,Restoran,5/20/C
Fiesta Steak,"Central Park, Jl. Letjend S. Parman",PT. Cipta Adidaya Semesta,Christopher Aditya,Jakarta Barat,021 56985564,021 56985564,Restoran,5/20/C
Fiesta Steak,"Mal Puri Indah, Jl. Puri Agung",CV. Fajar Indah Semesta,Indrasto Setiadi,Jakarta Barat,021 5822381,,Restoran,4/16/C
Fish & Co,"Mal Taman Anggrek, Jl. Letjend. S. Parman",Henky Rusli,Henky Rusli,Jakarta Barat,021 56998575,021 56998575,Restoran,40/110/A
Fish & Co,"Central Park Mall Lt LG U L-211&L-257B, Jl. Letjen S. Parman Kav. 28, Slipi",PT. Gemilang Food,Henky Rusli,Jakarta Barat,021 29310491,021 29310491,Restoran,22/46/B
Food Gallery,Jl. Perjuangan Raya Kedoya Permai,PT. Panen Lestari Internusa,Ferry Lawrentius  Hollen,Jakarta Barat,021 5310056,021 53676162,Restoran,96/192/A
Food Library,Mal Ciputra Jl. Tanjung Duren Utara I,PT. Ciputra Sentra,Sugwantono Tanto,Jakarta Barat,,,Restoran,91/361/A
Fortuna Ii,Jl. Pintu Besar Selatan No. 69,Lie Kie Tong,Lie Kie Tong,Jakarta Barat,021 6313411,021 6313411,Restoran,6/24/B
Furama,Jl. Hayam Wuruk  No. 45,PT. Wahyu Bintang Sentosa,Kho Pik Hiang,Jakarta Barat,021 6257272,021 6257272,Restoran,15/150/A
Gado Gado Cemara,Jl. Gajah Mada No. 37,PT.Cemara Resto,Tommy Djohan,Jakarta Barat,,,Restoran,10/50/B
Gado Gado Cemara,Jl. Raya Pos Pengumben No. 118A,PT. Cemara Resto,Tommy Djohan,Jakarta Barat,,,Restoran,10/50/B
Gandy Steak,Jl. Hayam Wuruk No. 73,PT. Nafiri Sion,Hendi Soetaniman,Jakarta Barat,021 6391109,021 6256576,Restoran,10/50/B
Gandy Steak,"Perum. Green Garden Blok I 9/3-4, Jl. Panjang",PT. Naviri Simon,Hendy Soetaniman,Jakarta Barat,021 6891109,,Restoran,20/40/B
Gandy Steak House & Bakery,Ruko Green Garden Blok I/9 No. 25,PT. Nafiri Sion,Hendi Soetaniman,Jakarta Barat,021 5801332,,Restoran,25/100/A
Ginsco,Jl. Puri Indah Blok 02 No.1-3,PT. Citra Nusa Insan Cemerlang,Stephanus Abrian Natan,Jakarta Barat,021 58303615,021 58303618,Restoran,10/50/B
